Date,Open,High,Low,Close,Total Trade Quantity
1571029020,0.02203321,0.02203321,0.02203321,0.02203321,0.151851
1571029080,0.0220332,0.0220332,0.02203,0.02203,13.53030693
1571029140,0.02203,0.02203,0.02203,0.02203,4.62322927
1571029200,0.02200415,0.02200765,0.02200006,0.02200765,15.55809976
1571029260,0.02200415,0.02200765,0.02200006,0.02200765,15.55809976
1571029320,0.022,0.022,0.022,0.022,10.86201588
1571029380,0.022,0.022,0.022,0.022,10.86201588
1571029440,0.02201514,0.02201514,0.02201335,0.02201335,2.33954432
1571029500,0.02201514,0.02202441,0.02201514,0.02202441,11.26539527
1571029560,0.02203601,0.02203601,0.02203601,0.02203601,0.88742673
1571029620,0.02203333,0.02203448,0.02203333,0.02203448,2.145946
1571029680,0.02203333,0.02203333,0.02203333,0.02203333,1.04329567
1571029740,0.02203333,0.02203333,0.02203333,0.02203333,1.49165669
1571029800,0.02203601,0.02203601,0.02203601,0.02203601,2.11257327
1571029860,0.02203879,0.0220495,0.02203878,0.0220495,3.65439289
1571029920,0.02205008,0.02205008,0.02204951,0.02205004,10.6763399
1571029980,0.0220412,0.0220472,0.0220412,0.0220472,50.0
1571030040,0.02204115,0.02204115,0.02202862,0.02202862,1.03366134
1571030100,0.02202864,0.02202864,0.02202864,0.02202864,1.30020463
1571030160,0.02203772,0.02203772,0.02203772,0.02203772,0.37338433
1571030220,0.02203773,0.02203773,0.02203773,0.02203773,4.83745118
1571030280,0.02203773,0.02203773,0.02203773,0.02203773,4.83745118
1571030340,0.02203773,0.02203773,0.02203773,0.02203773,4.83745118
1571030400,0.02205008,0.02205008,0.02204194,0.02204194,0.84028992
1571030460,0.02205008,0.02205008,0.02204194,0.02204194,0.84028992
1571030520,0.02204913,0.02204914,0.02204913,0.02204914,2.08922738
1571030580,0.02204916,0.02204916,0.02204916,0.02204916,0.14519566
1571030640,0.02204919,0.02205007,0.02204919,0.02205007,23.9209
1571030700,0.02204919,0.02205007,0.02204919,0.02205007,23.9209
1571030760,0.02204913,0.02204913,0.02204913,0.02204913,0.11821328
1571030820,0.02204913,0.02204913,0.02204913,0.02204913,0.72029666
1571030880,0.02204913,0.02204913,0.02204913,0.02204913,0.72029666
1571030940,0.02204912,0.02204912,0.02204912,0.02204912,2.33541306
1571031000,0.02204912,0.02204912,0.02204912,0.02204912,0.13748747
1571031060,0.02204912,0.02204912,0.02204912,0.02204912,0.13748747
1571031120,0.02204912,0.02204912,0.02204912,0.02204912,6.39984412
1571031180,0.02204912,0.02204912,0.02204912,0.02204912,6.39984412
1571031240,0.02204912,0.02204912,0.02204912,0.02204912,6.39984412
1571031300,0.02204912,0.02204912,0.02204912,0.02204912,6.39984412
1571031360,0.02204912,0.02204912,0.02204912,0.02204912,1.1959
1571031420,0.02204912,0.02204912,0.02204912,0.02204912,1.1959
1571031480,0.02204912,0.02204912,0.02204912,0.02204912,1.1959
1571031540,0.02204912,0.02204912,0.02204912,0.02204912,1.1959
1571031600,0.02204912,0.02204912,0.02204912,0.02204912,1.0
1571031660,0.02204912,0.02204912,0.02204912,0.02204912,0.32034231
1571031720,0.02204913,0.02204913,0.02204913,0.02204913,0.05842
1571031780,0.02204913,0.02204913,0.02204913,0.02204913,0.04288334
1571031840,0.02205007,0.02205007,0.02205007,0.02205007,0.0504967
1571031900,0.02205008,0.02205008,0.02205008,0.02205008,1.0
1571031960,0.0220616,0.0220616,0.0220616,0.0220616,0.02270915
1571032020,0.02206161,0.02206161,0.02206161,0.02206161,0.13699679
1571032080,0.02206161,0.02206161,0.02205098,0.02205098,1.86213109
1571032140,0.02206161,0.02206161,0.02205098,0.02205098,1.86213109
1571032200,0.02206161,0.02206161,0.02205098,0.02205098,1.86213109
1571032260,0.02206161,0.02206161,0.02205098,0.02205098,1.86213109
1571032320,0.02206161,0.02206161,0.02205098,0.02205098,1.86213109
1571032380,0.02205209,0.02205209,0.02205209,0.02205209,0.46201921
1571032440,0.02205209,0.02205209,0.02205209,0.02205209,0.46201921
1571032500,0.02205209,0.02205209,0.02205209,0.02205209,0.46201921
1571032560,0.02205209,0.02205209,0.02205209,0.02205209,0.46201921
1571032620,0.02205917,0.02205917,0.02205916,0.02205916,0.277796
1571032680,0.02206937,0.02206937,0.02206937,0.02206937,2.0
1571032740,0.02206938,0.02209446,0.02206938,0.02209446,1.91799032
1571032800,0.02209544,0.0220987,0.02209544,0.02209654,3.88285482
1571032860,0.02209544,0.0220987,0.02209544,0.02209654,3.88285482
1571032920,0.0220987,0.02210023,0.02209869,0.02209869,13.24627458
1571032980,0.02210022,0.02210022,0.02210022,0.02210022,0.08848454
1571033040,0.02210023,0.02210023,0.02210023,0.02210023,0.00867526
1571033100,0.02210023,0.02210023,0.02210023,0.02210023,0.00867526
1571033160,0.0221,0.0221,0.0221,0.0221,2.2404157
1571033220,0.02209855,0.02209855,0.02209854,0.02209854,0.82319265
1571033280,0.02209854,0.02209854,0.02207879,0.02208098,4.99315698
1571033340,0.02206691,0.02206691,0.02206691,0.02206691,0.73680864
1571033400,0.02206691,0.02206691,0.02206691,0.02206691,0.73680864
1571033460,0.02208211,0.02208211,0.02208211,0.02208211,3.53321511
1571033520,0.02208197,0.02208197,0.02208197,0.02208197,9.98
1571033580,0.02208197,0.02208197,0.02208197,0.02208197,9.98
1571033640,0.02208197,0.02208197,0.02208197,0.02208197,9.98
1571033700,0.02208211,0.02208211,0.02208211,0.02208211,0.1
1571033760,0.02208197,0.02208197,0.02208197,0.02208197,1.5
1571033820,0.02208197,0.02208197,0.02208197,0.02208197,1.5
1571033880,0.02208197,0.02208197,0.02208197,0.02208197,1.5
1571033940,0.02208197,0.02208197,0.02208197,0.02208197,5.0
1571034000,0.02208198,0.02208198,0.02205978,0.02206164,21.86124098
1571034060,0.02207896,0.02207896,0.02207896,0.02207896,0.02404233
1571034120,0.02207896,0.02207896,0.02207896,0.02207896,0.02404233
1571034180,0.02207894,0.02207894,0.02207894,0.02207894,0.08828807
1571034240,0.02207894,0.02207894,0.02207894,0.02207894,0.08828807
1571034300,0.02206982,0.02206982,0.02206982,0.02206982,0.06072344
1571034360,0.02207895,0.02207895,0.02207895,0.02207895,3.2976987
1571034420,0.02207895,0.02207895,0.02207895,0.02207895,0.068177
1571034480,0.02207895,0.02207895,0.02207895,0.02207895,0.068177
1571034540,0.02207895,0.02207895,0.02207895,0.02207895,0.068177
1571034600,0.02207895,0.02207895,0.02207895,0.02207895,0.068177
1571034660,0.02207895,0.02207895,0.02207895,0.02207895,0.068177
1571034720,0.02208198,0.02208706,0.02208198,0.02208706,9.22977003
1571034780,0.02209119,0.02209119,0.02209118,0.02209118,6.95813385
1571034840,0.02209119,0.02209119,0.02209118,0.02209118,6.95813385
1571034900,0.02208911,0.02208911,0.02208911,0.02208911,0.13364608
1571034960,0.0220619,0.02206375,0.02206189,0.02206375,16.02889808
1571035020,0.02206375,0.02206375,0.02206375,0.02206375,4.77716615
1571035080,0.02206375,0.02206375,0.02206375,0.02206375,4.77716615
1571035140,0.02206375,0.02206375,0.02206375,0.02206375,4.77716615
1571035200,0.02206375,0.02206375,0.02206375,0.02206375,4.77716615
1571035260,0.02206375,0.02206375,0.02206375,0.02206375,4.77716615
1571035320,0.02206375,0.02206375,0.02206375,0.02206375,4.77716615
1571035380,0.02206375,0.02206375,0.02206375,0.02206375,4.77716615
1571035440,0.02206375,0.02206375,0.02206375,0.02206375,4.77716615
1571035500,0.02206375,0.02206375,0.02206375,0.02206375,4.77716615
1571035560,0.02206375,0.02206375,0.02206375,0.02206375,4.77716615
1571035620,0.02206375,0.02206375,0.02206375,0.02206375,1.99999999
1571035680,0.02206375,0.02206375,0.02206375,0.02206375,3.32212147
1571035740,0.02206375,0.02206375,0.02206375,0.02206375,2.99999982
1571035800,0.02206375,0.02206375,0.02206375,0.02206375,5.99803439
1571035860,0.02206375,0.02206375,0.02206375,0.02206375,9.89804455
1571035920,0.02206375,0.02206375,0.02206375,0.02206375,9.89804455
1571035980,0.02206375,0.02206375,0.02206375,0.02206375,9.89804455
1571036040,0.02206375,0.02206375,0.02206375,0.02206375,9.89804455
1571036100,0.02206375,0.02206375,0.02206375,0.02206375,9.89804455
1571036160,0.02204913,0.02204913,0.02204912,0.02204912,0.13167143
1571036220,0.02205171,0.02205171,0.02205171,0.02205171,0.115132
1571036280,0.02205171,0.02205171,0.02205171,0.02205171,0.115132
1571036340,0.02205988,0.02205988,0.02205988,0.02205988,0.09814819
